Avr_L: 32.3040    Avr_b: 18.1086   Avr_Chroma: 20.3504 
Avr_L: 34.2727    Avr_b: 18.3715   Avr_Chroma: 20.5533 
Avr_L: 40.6275    Avr_b: 17.2043   Avr_Chroma: 18.3504 
Avr_L: 40.5627    Avr_b: 17.0258   Avr_Chroma: 18.2731 
Avr_L: 34.8270    Avr_b: 18.2006   Avr_Chroma: 20.3704 
Avr_L: 38.6665    Avr_b: 20.0877   Avr_Chroma: 21.6410 
Avr_L: 40.7641    Avr_b: 16.7267   Avr_Chroma: 18.1551 
Avr_L: 35.1977    Avr_b: 17.4444   Avr_Chroma: 19.7835 
Avr_L: 39.5199    Avr_b: 19.6965   Avr_Chroma: 21.2054 
Avr_L: 35.0615    Avr_b: 17.6304   Avr_Chroma: 20.0244 
Avr_L: 39.6133    Avr_b: 19.6488   Avr_Chroma: 21.2173 
Avr_L: 35.0106    Avr_b: 17.6260   Avr_Chroma: 20.1072 
Avr_L: 39.4395    Avr_b: 19.7070   Avr_Chroma: 21.3013 
Avr_L: 34.8140    Avr_b: 17.4680   Avr_Chroma: 20.0899 
Avr_L: 39.4234    Avr_b: 19.6538   Avr_Chroma: 21.3963 
Avr_L: 39.7183    Avr_b: 19.3573   Avr_Chroma: 21.1102 
Avr_L: 35.2109    Avr_b: 16.7151   Avr_Chroma: 17.9244 
Avr_L: 39.2654    Avr_b: 19.5473   Avr_Chroma: 21.3886 
Avr_L: 36.3576    Avr_b: 16.3021   Avr_Chroma: 17.6097 
Avr_L: 34.7889    Avr_b: 13.3783   Avr_Chroma: 14.8876 
Avr_L: 36.7995    Avr_b: 15.9672   Avr_Chroma: 17.3104 
Avr_L: 36.5769    Avr_b: 12.6708   Avr_Chroma: 14.2068 
Avr_L: 36.3725    Avr_b: 16.3421   Avr_Chroma: 17.6384 
Avr_L: 37.0599    Avr_b: 12.5115   Avr_Chroma: 14.0442 
Avr_L: 32.8090    Avr_b: 19.7083   Avr_Chroma: 21.4505 
Avr_L: 36.2566    Avr_b: 15.9662   Avr_Chroma: 17.3809 
Avr_L: 36.9110    Avr_b: 12.3878   Avr_Chroma: 14.0274 
Avr_L: 33.7716    Avr_b: 20.1723   Avr_Chroma: 21.9564 
Avr_L: 36.0366    Avr_b: 15.7980   Avr_Chroma: 17.4005 
Avr_L: 36.7264    Avr_b: 12.2107   Avr_Chroma: 13.9489 
Avr_L: 34.5890    Avr_b: 19.5449   Avr_Chroma: 21.4472 
Avr_L: 35.7405    Avr_b: 15.8801   Avr_Chroma: 17.4818 
Avr_L: 37.5297    Avr_b: 11.4220   Avr_Chroma: 13.3183 
Avr_L: 32.1261    Avr_b: 18.2032   Avr_Chroma: 20.6062 
Avr_L: 34.4521    Avr_b: 19.5184   Avr_Chroma: 21.5237 
Avr_L: 34.0926    Avr_b: 18.6983   Avr_Chroma: 21.0555 
Avr_L: 32.8358    Avr_b: 18.0097   Avr_Chroma: 20.6037 
Avr_L: 34.6178    Avr_b: 19.2599   Avr_Chroma: 21.3749 
Avr_L: 30.5024    Avr_b: 17.4607   Avr_Chroma: 19.7330 
Avr_L: 35.1836    Avr_b: 18.5237   Avr_Chroma: 20.9366 
Avr_L: 33.2061    Avr_b: 18.0307   Avr_Chroma: 20.7442 
Avr_L: 35.2994    Avr_b: 19.0204   Avr_Chroma: 21.2072 
Avr_L: 32.2240    Avr_b: 18.0607   Avr_Chroma: 20.2383 
Avr_L: 36.1083    Avr_b: 17.9208   Avr_Chroma: 20.4103 
Avr_L: 33.1757    Avr_b: 18.6761   Avr_Chroma: 21.3412 
Avr_L: 34.9274    Avr_b: 19.2304   Avr_Chroma: 21.5518 
Avr_L: 33.3215    Avr_b: 18.2031   Avr_Chroma: 20.3432 
Avr_L: 36.8793    Avr_b: 17.5449   Avr_Chroma: 20.2040 
Avr_L: 33.4975    Avr_b: 18.8182   Avr_Chroma: 21.5895 
Avr_L: 34.1659    Avr_b: 17.9662   Avr_Chroma: 20.0463 
Avr_L: 39.5086    Avr_b: 15.8191   Avr_Chroma: 16.4583 
Avr_L: 37.1012    Avr_b: 17.5551   Avr_Chroma: 20.2828 
Avr_L: 33.7589    Avr_b: 18.8028   Avr_Chroma: 21.5919 
Avr_L: 33.9524    Avr_b: 18.0918   Avr_Chroma: 20.3005 
Avr_L: 41.5079    Avr_b: 15.2896   Avr_Chroma: 15.9558 
Avr_L: 36.2999    Avr_b: 17.7402   Avr_Chroma: 20.8325 
Avr_L: 33.9840    Avr_b: 18.0657   Avr_Chroma: 20.3049 
Avr_L: 42.1525    Avr_b: 15.0405   Avr_Chroma: 15.8109 
Avr_L: 34.1553    Avr_b: 18.1048   Avr_Chroma: 20.5112 
Avr_L: 42.4491    Avr_b: 14.8374   Avr_Chroma: 15.7599 
Avr_L: 34.8767    Avr_b: 19.3938   Avr_Chroma: 21.1887 
Avr_L: 33.8624    Avr_b: 17.9212   Avr_Chroma: 20.3765 
Avr_L: 42.5595    Avr_b: 14.5703   Avr_Chroma: 15.5479 
Avr_L: 36.5583    Avr_b: 19.5585   Avr_Chroma: 21.3426 
Avr_L: 40.8511    Avr_b: 17.5080   Avr_Chroma: 18.8260 
Avr_L: 42.8187    Avr_b: 14.2515   Avr_Chroma: 15.3929 
Avr_L: 37.6015    Avr_b: 18.8879   Avr_Chroma: 20.7107 
